data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage,cbmaker,combos,sfiha,kit1,kit2,snack,pastas,dishes,promotion,savory,salads,range,dessert1,desserte,pizzas1,pizzase,beverage1,beveragee,cbmaker1,cbmakere,combos1,combose,sfiha1,sfihae,kit11,kit1e,kit21,kit2e,snack1,snacke,pastas1,pastase,dishes1,dishese,promotion1,promotione,savory1,savorye,salads1,saladse
"07/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,60417.00,5.00,20.30,16.40,18.56,89.25,3.97,"SUN",3,3,4203.00,369.00,2058.00,0.00,1605.00,35344.00,18.00,4.00,1953.00,1012.00,371.00,0.00,13424.00,56.00,"Range-19",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"08/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,53409.00,34.20,21.40,16.40,18.76,93.25,3.97,"MON",1,3,2131.00,197.00,1595.00,0.00,597.00,36847.00,24.00,4.00,1137.00,461.00,179.00,0.00,10197.00,40.00,"Range-14",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"15/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,45894.00,6.00,29.80,19.80,25.16,68.00,4.40,"MON",1,3,1929.00,230.00,1399.00,0.00,476.00,30960.00,9.00,1.00,1052.00,410.00,172.00,0.00,9211.00,45.00,"Range-12",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"19/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,63317.00,12.00,28.80,21.00,23.56,83.00,0.30,"FRI",2,3,3372.00,389.00,2184.00,0.00,1946.00,39528.00,21.00,2.00,1880.00,576.00,404.00,0.00,12973.00,42.00,"Range-21",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"18/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,53269.00,3.75,31.60,22.30,27.12,78.00,4.90,"TUR",1,3,2155.00,189.00,1630.00,0.00,597.00,36885.00,17.00,2.00,1229.00,455.00,179.00,0.00,9887.00,44.00,"Range-14",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"16/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,44691.00,1.00,29.20,19.80,24.56,76.00,3.00,"TUE",1,3,1835.00,177.00,1265.00,0.00,436.00,30187.00,15.00,2.00,995.00,416.00,161.00,0.00,9172.00,30.00,"Range-10",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"17/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,49582.00,5.80,30.80,20.80,25.28,77.00,6.20,"WED",1,3,1817.00,187.00,1366.00,0.00,472.00,34325.00,4.00,0.00,1043.00,357.00,158.00,0.00,9818.00,35.00,"Range-12",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"20/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,72647.00,2.00,29.00,20.20,22.72,90.00,2.00,"SAT",3,3,3251.00,531.00,2303.00,0.00,2196.00,45266.00,20.00,1.00,2108.00,640.00,569.00,0.00,15705.00,57.00,"Range-22",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"21/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,55849.00,22.00,30.20,19.60,23.20,85.00,5.10,"SUN",3,3,3510.00,385.00,2057.00,0.00,1371.00,33106.00,12.00,2.00,1735.00,838.00,515.00,0.00,12259.00,59.00,"Range-19",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"22/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,48770.00,8.80,31.80,19.60,25.20,70.00,8.80,"MON",1,3,1750.00,195.00,1507.00,0.00,543.00,33842.00,15.00,0.00,1021.00,429.00,308.00,0.00,9127.00,33.00,"Range-13",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
