data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage,cbmaker,combos,sfiha,kit1,kit2,snack,pastas,dishes,promotion,savory,salads,range,inferior,superior,media,erro
"20/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,54507.00,1.00,32.00,22.10,25.82,80.00,0.00,"SUN",3,3,3716.00,308.00,2068.00,3.00,4145.00,30634.00,36.00,6.00,1261.00,713.00,710.00,0.00,10868.00,39.00,"Range-10",302,321,312,0.439
"21/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,41359.00,0.60,33.90,21.80,27.46,74.00,0.00,"MON",1,3,2271.00,146.00,1580.00,0.00,2008.00,24597.00,25.00,5.00,728.00,344.00,433.00,0.00,9190.00,32.00,"Range-09",283,302,293,0.677
"27/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,50158.00,0.00,31.00,19.00,25.24,66.00,0.00,"SUN",3,3,3394.00,242.00,1873.00,3.00,3722.00,28430.00,34.00,5.00,1111.00,682.00,609.00,0.00,10010.00,43.00,"Range-10",302,321,312,0.512
"26/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,58758.00,23.50,28.70,16.50,20.94,92.00,0.00,"SAT",3,3,3548.00,314.00,1837.00,0.00,4524.00,35306.00,36.00,0.00,1315.00,463.00,614.00,0.00,10783.00,18.00,"Range-10",302,321,312,0.508
"28/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,36592.00,0.00,34.00,21.30,27.24,72.00,0.00,"MON",1,3,1903.00,133.00,1372.00,0.00,1657.00,21433.00,21.00,4.00,682.00,345.00,445.00,0.00,8558.00,39.00,"Range-09",283,302,293,0.658
"22/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,40499.00,0.00,31.50,21.40,25.96,80.00,0.00,"TUE",1,3,2091.00,121.00,1450.00,7.00,1899.00,23948.00,15.00,3.00,718.00,304.00,452.00,0.00,9462.00,29.00,"Range-09",283,302,293,0.648
"23/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,40371.00,22.00,32.20,21.30,25.34,82.00,0.00,"WED",1,3,2046.00,129.00,1324.00,1.00,1738.00,24549.00,18.00,2.00,664.00,323.00,364.00,0.00,9184.00,29.00,"Range-09",283,302,293,0.805
"25/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,66882.00,44.00,27.40,18.00,21.28,86.00,0.00,"FRI",2,3,4516.00,304.00,2705.00,4.00,6262.00,38213.00,38.00,5.00,1391.00,533.00,647.00,0.00,12238.00,26.00,"Range-09",283,302,293,0.453
"29/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,36188.00,0.00,32.70,22.70,26.70,67.00,0.00,"TUE",1,3,1908.00,116.00,1377.00,0.00,1667.00,20635.00,3.00,1.00,670.00,372.00,367.00,0.00,9046.00,26.00,"Range-09",283,302,293,0.798
"30/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,40763.00,1.20,35.10,18.00,24.82,68.00,0.00,"WED",1,3,2143.00,111.00,1555.00,1.00,1879.00,24247.00,4.00,0.00,663.00,321.00,488.00,0.00,9314.00,37.00,"Range-09",283,302,293,0.600
"24/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,51847.00,6.00,30.50,18.60,23.90,79.00,0.00,"TUR",1,3,2732.00,232.00,1876.00,0.00,3613.00,31579.00,40.00,4.00,1143.00,393.00,449.00,0.00,9761.00,25.00,"Range-09",283,302,293,0.653
"31/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,37683.00,52.00,34.40,17.80,26.80,48.25,0.00,"TUR",1,3,2187.00,184.00,1667.00,1.00,2659.00,21927.00,15.00,0.00,848.00,348.00,398.00,0.00,7429.00,20.00,"Range-09",283,302,293,0.736
