"","Item","Quant","Standarddev","Standarddevper","lower","upper"
"1","Desserts",2372,158.021103759302,6.66193523437193,2213.9788962407,2530.0211037593
"2","Pizzas",151,3.84922084633268,2.54915287836602,147.150779153667,154.849220846333
"3","Beverage",1419,77.6100580232039,5.46934869790021,1341.3899419768,1496.6100580232
"4","Sfihas",20246,4102.5565662745,20.2635412737059,16143.4434337255,24348.5565662745
"5","Snack",753,90.2923266970131,11.9910128415688,662.707673302987,843.292326697013
"6","Pastas",338,7.26914322181732,2.15063408929507,330.730856778183,345.269143221817
"7","Dishes",341,12.0607865107649,3.53688753981377,328.939213489235,353.060786510765
"8","Savory",9310,731.929872696678,7.86176017934133,8578.07012730332,10041.9298726967
"9","Salads",30,2.95292365261825,9.84307884206082,27.0470763473818,32.9529236526182
